train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
base,Gemma3-1B,-,rebel,0.1293,0.2076,0.1338,0.0948,0.1804,0.1243
base,Gemma3-1B,-,lagrange,0.2553,0.2429,0.2210,0.2118,0.2051,0.2084
base,Gemma3-1B,-,tum_full,0.1152,0.2631,0.1374,0.0799,0.2361,0.1194
base,Gemma3-1B,-,tum_p99,0.1184,0.2701,0.1421,0.0828,0.2485,0.1242
base,Gemma3-1B,-,wikinre,0.1658,0.4314,0.2250,0.1380,0.4308,0.2091
base,Qwen2.5-1.5B,-,rebel,0.2208,0.2282,0.1905,0.1733,0.1905,0.1815
base,Qwen2.5-1.5B,-,lagrange,0.3584,0.2778,0.2866,0.3562,0.2647,0.3037
base,Qwen2.5-1.5B,-,tum_full,0.2271,0.2715,0.2156,0.1673,0.2390,0.1968
base,Qwen2.5-1.5B,-,tum_p99,0.2432,0.2936,0.2324,0.1722,0.2528,0.2049
base,Qwen2.5-1.5B,-,wikinre,0.3437,0.4357,0.3510,0.2631,0.4178,0.3229
base,Llama3.2-1B,-,rebel,0.0724,0.2046,0.0824,0.0382,0.1722,0.0626
base,Llama3.2-1B,-,lagrange,0.1314,0.2358,0.1419,0.0826,0.2208,0.1202
base,Llama3.2-1B,-,tum_full,0.0654,0.2289,0.0842,0.0384,0.2213,0.0654
base,Llama3.2-1B,-,tum_p99,0.0661,0.2365,0.0862,0.0378,0.2278,0.0649
base,Llama3.2-1B,-,wikinre,0.1433,0.4627,0.1929,0.0805,0.4463,0.1364
rebel,Gemma3-1B,4,rebel,0.7123,0.6967,0.6826,0.6890,0.6666,0.6776
rebel,Gemma3-1B,4,lagrange,0.5347,0.4425,0.4403,0.4830,0.3925,0.4331
rebel,Gemma3-1B,4,tum_full,0.4497,0.4559,0.4136,0.3806,0.4054,0.3926
rebel,Gemma3-1B,4,tum_p99,0.4545,0.4622,0.4197,0.3745,0.4102,0.3915
rebel,Gemma3-1B,4,wikinre,0.5416,0.8111,0.5939,0.2925,0.7886,0.4267
rebel,Qwen2.5-1.5B,4,rebel,0.7036,0.6986,0.6820,0.6927,0.6779,0.6852
rebel,Qwen2.5-1.5B,4,lagrange,0.5304,0.4603,0.4597,0.4921,0.4234,0.4552
rebel,Qwen2.5-1.5B,4,tum_full,0.4318,0.4683,0.4173,0.3793,0.4301,0.4031
rebel,Qwen2.5-1.5B,4,tum_p99,0.4329,0.4611,0.4142,0.3685,0.4201,0.3926
rebel,Qwen2.5-1.5B,4,wikinre,0.5020,0.7683,0.5638,0.3239,0.7540,0.4531
rebel,Llama3.2-1B,5,rebel,0.7122,0.7001,0.6869,0.7073,0.6674,0.6868
rebel,Llama3.2-1B,5,lagrange,0.5320,0.4413,0.4408,0.4802,0.3869,0.4286
rebel,Llama3.2-1B,5,tum_full,0.4809,0.4610,0.4360,0.4249,0.4066,0.4156
rebel,Llama3.2-1B,5,tum_p99,0.4826,0.4579,0.4350,0.4170,0.4044,0.4106
rebel,Llama3.2-1B,5,wikinre,0.5077,0.8406,0.5718,0.2984,0.8167,0.4371
lagrange,Gemma3-1B,6,rebel,0.3887,0.5540,0.4107,0.3321,0.4935,0.3971
lagrange,Gemma3-1B,6,lagrange,0.8631,0.8308,0.8333,0.8436,0.8130,0.8281
lagrange,Gemma3-1B,6,tum_full,0.4766,0.6162,0.4982,0.4019,0.5642,0.4694
lagrange,Gemma3-1B,6,tum_p99,0.4851,0.6272,0.5059,0.4016,0.5721,0.4719
lagrange,Gemma3-1B,6,wikinre,0.6408,0.8701,0.7007,0.5068,0.8529,0.6358
lagrange,Qwen2.5-1.5B,6,rebel,0.4060,0.5659,0.4294,0.3705,0.4951,0.4238
lagrange,Qwen2.5-1.5B,6,lagrange,0.8551,0.8480,0.8409,0.8445,0.8312,0.8378
lagrange,Qwen2.5-1.5B,6,tum_full,0.4826,0.6482,0.5152,0.4216,0.5985,0.4947
lagrange,Qwen2.5-1.5B,6,tum_p99,0.4922,0.6619,0.5269,0.4313,0.6104,0.5054
lagrange,Qwen2.5-1.5B,6,wikinre,0.5517,0.8703,0.6422,0.4687,0.8536,0.6051
lagrange,Llama3.2-1B,7,rebel,0.4022,0.5487,0.4190,0.3583,0.4771,0.4092
lagrange,Llama3.2-1B,7,lagrange,0.8625,0.8330,0.8354,0.8520,0.8140,0.8325
lagrange,Llama3.2-1B,7,tum_full,0.4917,0.6301,0.5113,0.4280,0.5769,0.4914
